List;Trial;Item;Register;Wort;Sentence;Satz;Bild1;Bild2;Bild3;Bild4
2;24;24;1;<b>Flasche</b> ?;"Ich bef&uuml;lle gleich meine <b>Flasche</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Pulle-2.jpg;Flasche-2.jpg;Pulle-1.jpg;Flasche-1.jpg
2;25;28;2;"<b>Tr&ouml;te</b> ?";"Ich spiele sp&auml;ter meine <b>Tr&ouml;te</b>";"Welches Bild passt am besten f&uuml;r das Wort";Troete-2.jpg;Trompete-2.jpg;Troete-1.jpg;Trompete-1.jpg
2;26;29;2;<b>Kippe</b> ?;Ich rauche bald meine <b>Kippe</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Kippe-1.jpg;Kippe-2.jpg;Zigarre-1.jpg;Zigarre-2.jpg
2;27;5;2;<b>Kammern</b> ?;"Ich renoviere sp&auml;ter meine <b>Kammern</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Gemaecher-1.jpg;Gemaecher-2.jpg;Kammern-1.jpg;Kammern-2.jpg
2;28;27;1;<b>Kleider</b> ?;Ich schneidere jetzt meine <b>Kleider</b>;"Welches Bild passt am besten f&uuml;r das Wort";Fummel-1.jpg;Kleider-1.jpg;Fummel-2.jpg;Kleider-2.jpg
2;29;10;1;<b>Beine</b> ?;Ich rasiere bald meine <b>Beine</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Beine-1.jpg;Stelzen-1.jpg;Beine-2.jpg;Stelzen-2.jpg
2;30;35;1;<b>Augen</b> ?;"Ich schminke sp&auml;ter meine <b>Augen</b>";"Welches Bild passt am besten f&uuml;r das Wort";Glubscher-1.jpg;Glubscher-2.jpg;Augen-1.jpg;Augen-2.jpg
2;31;3;2;<b>Bruchbude</b> ?;Ich saniere bald meine <b>Bruchbude</b>;"Welches Bild passt am besten f&uuml;r das Wort";Bruchbude-2.jpg;Wohnung-2.jpg;Bruchbude-1.jpg;Wohnung-1.jpg
2;32;40;1;<b>Hausschuhe</b> ?;Ich trage jetzt meine <b>Hausschuhe</b>;"Welches Bild passt am besten f&uuml;r das Wort";Schlappen-2.jpg;Hausschuhe-2.jpg;Schlappen-1.jpg;Hausschuhe-1.jpg
2;33;33;1;"<b>B&uuml;cher</b> ?";"Ich lese sp&auml;ter meine <b>B&uuml;cher</b>";"Welches Bild passt am besten f&uuml;r das Wort";Buecher-2.jpg;Waelzer-1.jpg;Waelzer-2.jpg;Buecher-1.jpg
2;34;38;1;"<b>Getr&auml;nke</b> ?";"Ich versch&uuml;tte gleich meine <b>Getr&auml;nke</b>";"Welches Bild passt am besten f&uuml;r das Wort";Pluerre-2.jpg;Getraenke-1.jpg;Getraenke-2.jpg;Pluerre-1.jpg
2;35;1;2;<b>Latschen</b> ?;Ich binde gleich meine <b>Latschen</b>;"Welches Bild passt am besten f&uuml;r das Wort";Latschen-1.jpg;Latschen-2.jpg;Schuhe-1.jpg;Schuhe-2.jpg
2;36;19;2;<b>Wisch</b> ?;Ich unterschreibe jetzt meinen <b>Wisch</b>;"Welches Bild passt am besten f&uuml;r das Wort";Antrag-1.jpg;Antrag-2.jpg;Wisch-1.jpg;Wisch-2.jpg
2;37;25;2;<b>Mauken</b> ?;"Ich pedik&uuml;re bald meine <b>Mauken</b>";"Welches Bild passt am besten f&uuml;r das Wort";Fuesse-2.jpg;Mauken-1.jpg;Fuesse-1.jpg;Mauken-2.jpg
2;38;37;1;<b>Finger</b> ?;Ich wasche gleich meine <b>Finger</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Finger-2.jpg;Griffel-1.jpg;Finger-1.jpg;Griffel-2.jpg
2;39;31;2;<b>Knarre</b> ?;Ich feuer bald meine <b>Knarre</b>;"Welches Bild passt am besten f&uuml;r das Wort";Pistole-1.jpg;Knarre-1.jpg;Knarre-2.jpg;Pistole-2.jpg
2;40;34;1;"<b>Erfrischungsgetr&auml;nke</b> ?";"Ich trinke sp&auml;ter meine <b>Erfrischungsgetr&auml;nke</b>";"Welches Bild passt am besten f&uuml;r das Wort";Erfrischungsgetränke-1.jpg;Limos-1.jpg;Limos-2.jpg;Erfrischungsgetränke-2.jpg
